content;Labels
Waduh ovo ini kebiasaan top up e-money itu gak pernah berhasil memperibet driver aj top up saldo 50 RB bermasalah suruh nunggu 3 hari kerja.... Tolong di kembalikan saldo top up e-money saya 50 RB... Untuk yang lain pertimbangan untuk top up etol lewat ovo ya.... Ketika ada masalah cs nya tidak fast respon & lama pengembalian 3 hari kerja hanya untuk top up etol 50 RB;Negative
Sangat membantu dalam membayar transaksi online;Positive
Tolong di perbaiki, untuk transfer ke bank terlalu lama gabisa bersaing dengan aplikasi lain;Negative
Kecewa saya ke pihak ovo saya melakukan penjualan investasi emas lama cairnya,, padahal udah satu Minggu lebih,,saya menggunakan ovo sudah lebih 5 tahun tapi saya kecewa hari ini;Negative
Kenapa semenjak update aplikasi malah lemot, bahkan saya gak bisa masuk applikasi nya, loading gak selesai selesai, udah instal ulang sama aja malah nggk bisa masuk. Dan ternyata harus ada WiFi yg lunayan kenceng baru bisa masuk, padahal kalo pake aplikasi ijo dan orange gak perlu pake WiFi buat masuk,;Negative
Bagaimana tanggapan devp terhadap security dan jaminan ke amanan ovo,dan denge keamanan dan securitynya sangat rendah ya,bahkan gada jaminan sama sekali untuk nasabah yang di rugikan, menurut devp gimana tuh?;Negative
Kenapa susah buat login kembali dengan nomor yang lama yang saya di sana semua;Negative
Batas Waktu Pembayaran mytelkomsel di ovo hanya 3 detik gak ngotak cepat banget gak sempet pencet aplikasinya udah kelar waktunya kampretos;Negative
Mau upgrade ke premium aja susah banget padahal lg butuh untuk transfer, tp d tolak terus.syarat dan peraturan udh d ikuti tp msh ga bsa jg.;Negative
Mantapp sekali,proses cepat aman mudahh;Positive
Knp Sik gak bisa masuk lambat banget sumpahhh. Sampai uninstall berapa kali . Tetap gak bisa masuk;Negative
Nyesel gua make aplikasi ini, sungguh memperlambat pekerjaan, jaringan udah stabil buat buka aplikasi aja ngga bisa, apa harus gendong wifi tiap hari;Negative
Aplikasi jelek,,,sy trf ke BCA gak masuk2...saldo ga balik2;Negative
Mantap aplikasinya bos cepat unduh bos;Positive
Sangat parahhh... Tranfer susah eror trus..5 jam kaga bisa tranfer2..setiap hari ga pernah lancar.pusat bantuan tertulis tapi tidak bisa di buka..bikin aplikasi yang bener tolong.saldo az langsung masuk lngsung di potong.knpa giliran tranfer susah bgt;Negative
Masa gak bisa TF ke rekening bank, Bermasalah terus sampai Seminggu kwkwkwkkwkwkwkwk saldo kepotong TF tidak masuk. Apliaksi GG;Negative
Udah isi saldo mau buat tf keperluan hari ini juga malah tbtb harus upgrae ovo premier kalo ngga ngga bisa tf, udah upgrade suruh nunggu. Akhirnya bingung lagi gimana tf nya duitnya udah masuk;Negative
Apk nya gk jls masa gk bisa dibuka lama bngt beda ama dana Langsung kebuka apknya;Negative
Saldo sdh terpotong, tapi pembayaran tidak masuk ketujuan,sudah 3x24 jam dana msih blm dikembalikan, aplikasi pencuri spertinya ini. Hati hati, jangan melakukan pembayaran lewat ovo. Tidak ada tanggung jawaban nya.;Negative
Kuota internet stabil gak bisa masuk, gak logis buat kalian mending instal dana aja daripada aplikasi aneh ini;Negative
Klo transfer antar bank ga perlu ke premium ribet;Negative
Loading pas login selalu lama sekarang ini;Negative
Mudah dan cepat isi ulang pulsa;Positive
Sekarang sulit membuka nya padahal kuota masih banyak dan jaringan setabil... Tolong perbaiki;Negative
Cukup berguna dan bermanfaat. Terus tingkatkan lagi pelayanan dan fitur-fitur menarik lainnya ya. Terima kasih!;Positive
Bagus....praktis dan simple;Positive
Transfer mudah dan cepat;Positive
Apl nya gak jelas masa masa tiba tiba keluar dan gak bisa masuk lagi Katanya suruh uninstal terus instal ulang Tapi tetap aja gak bisa masuk;Negative
Sudah isi saldo ga bisa transfer upgrade ke premium jg gagal terus .. aplikasi apa ini;Negative
"kembalikan saldo saya di aplikasi transaksi sudah berhasil tapi belum masuk ke rekening yg di tuju aplikasi Abal""";Negative
Semakin hari sekarang kalau mau transfer lama banget,,, sampai nunggu berjam2, bahkan 2hari,, ovo kenapa sekarang? Padahal dulu ngk, aku mengalami trasfer berulang2 kali, padahal mau digunakan cepat, tapi apa daya dana kembali tapi tujuan membantu tak tersalurkan,,, kecewa sekarang;Negative
Mudah dan gampang;Positive
Aplks skrng knp susah login..semua akses bner..gimn ini ada saldo nya..tolong dong perbaiki;Negative
Padalah saya sudah download ovo tapi iklan terus muncul bikin kesel, pas main game muncul terus bikin kalah;Negative
Makin kesini buat transfer aja error mulu .. payaaah.. udh versi terbaru, udh reinstall teteep error..;Negative
Penyimpanan uang virtual yg lumayan memudahkan penggunanya untuk pembayaran dsb;Positive
Saya transfer pakai QRIS nya ovo di transaksi sudah berhasil tapi uang nya tidak sampai di penerima dan saya komplen di suruh tunggu 1x24 jam,setelah 24 jam belum ada kejelasan saya komplen suruh nunggu 5 hari kerja.saya sangat kecewa...uang saya trs kmn?sudah saya email tetep aja ga ada kejelasan;Negative
kenapa akun saya tiba2 keluar .dan dilogin kembali gk bisa . tolong perbaiki nih apk;Negative
Tidak bisaa update ovvo premier,mengenai masalah data dukcapil....!!! Reksadanaa tidak bisaaa di juall,proses gagall. Kecewaaaa bgt. Udah lapor masalah lewat email,tidak di respon.;Negative
Apk ga jelas Transaksi berhasil tapi pihak merchant blom dpt uangnya trus kode transaksi ga ada lucu lu apk kacau kecawa pindah apk sebelah lebih baik kayaknya;Negative
Saldo berhasil diproses saldo tidak masuk ke penerima;Negative
Awal susah karena blm paham setelah paham semua mudah;Positive
Scan tiket parkir selalu gagal.. Input manual trs jadinya;Negative
klo udah batas limit transaksi di infoin donk , mau di isi ga bisa , mau transaksi ga bisa , hadeh ... cuakzzz;Negative
Mau upgrade ke premium slalu gagal, padahal semua sdh jelas dan asli. Perbaiki aplikasi ini dengan benar klu masih menghargai para konsumen !!!;Negative
Verifikasi identitas biometrik selalu gagal. Padahal sudah sesuai prosedur;Negative
Aplikasinya bikin saya mudah melakukan transaksi . Tapi udh 2 bulan ini saya gk bisa gunain pembayaran tolong pihak Ovo dibantu ya . Gmn caranya biar Ovo saya bisa buat transaksi lgi;Positive
gagal login, terindikasi melakukan modifikasi aplikasi. padahal tidak di apa apain. awalmula logout sendiri, pas coba masuk lagi gagal.. payah bilang lah. untung saldonya sudah dipakai;Negative
Aplikasi apaan eror mulu tf gabisa verifikasi ribet banget ga guna..;Negative
Kok semua pada komplen sih padahal ak butuh aplikasi buat tranfer emang sih abgred lama banget ak nunggu udah dari semalam sampe sekarang ttp blum bisa apa sih yg di buat sulit;Negative
sering eror dan lambat masuk;Negative
Tolong di perbaiki systemnya masa pakai WiFi GK bisa masuk ke apknya malah lemot;Negative
kesal jadi nya lambat lemot buat masuk nya aja lama masih cepatkan gopay apa M-banking qta akun grab sering simpan di ovo klo lama2 kaya begini buat kirim atau ambil uang susah.;Negative
Eror terus mau masuk pasword salah terus padahal emang pasword nya....ahh males hapus aja dah;Negative
Senang belanja dgn ovo lebih mudah dan praktis;Positive
qu baru coba make , trnyata hrus daftar pke data pribadi ektp, topup mdah bsa lewat indomaret, tpi sayang skali kok g bisa buat beli pulsa hp, selalu gagal, g tau penyebapnya,;Negative
Tolong dong kalau ada pemberitahuan jangan di potong langsung duit nya..baru juga di isi semalem udh di potong langsung buat merchant google kecewa saya;Negative
APL tolollllll, uang udah kepotong, laporan terkirim dari ovonya tapi uang gak masuk ke penerima, kan tololl tingkat dewa !!!!! Mending pake APL DANA itu bagus gak ada kendala;Negative
Bagus dan sangat memudahkan transaksi;Positive
Suka banget, simpel dan sangat modern;Positive
sayangnya TopUp via mobile banking pun masih dipotong 1.500 dari saldo, padahal biaya transfer antar bank masih kena 6.500. Jadi dobel, kalau topup di alfa atau indom wajar mungkin biaya admin;Negative
Pokoknya ribet mau upgrade ke premier, kosongkan saldo , dan uninstall aja ya gus ya;Negative
Tolong dong ini knpa tf berhasil ter kirim tapi kode transksi.a blum muncul muncul soal.a uang yang sya tf blum k.trima sma pihak pnerima krna kode transaksi blum ada;Negative
Transaksi sudah berhasil ko saldo belom masuk yah gan?? Kenapa yah ???;Negative
Di bantu untuk lebih perhatian lagi donk ...saya sudah buat laporan untuk transaksi saya..tapi transaksinya tidak ada kodenya... Saya sangat perlu kode transaksinya... Tolong di bantu pihak ovo untuk respon lebih cepat;Negative
Mantap luar biasa belanja Online lebih mudah bisa untuk terima dana uang digital bisa untuk transfer... Beli pulsa token listrik dll.;Positive
Transfer sesama ovo gagal terus,scan qr gagal. Tapi kalau transfer ke rekening bank lancar. HERAN;Negative
Selalu lemot kesel padaha sinyal bagus;Negative
Setiap mengalami masalah top up respon chatnya selalu di alihkan ke via telpon/email. fungsi chat bantuan di aplikasi untuk apa? .. Respon chat harus menunggu 1 jam lebih.;Negative
Kalau ovo masih kurang memadai jangan tambah kan pembayaran via QRIS Ovo kembalikan saldo saya . Aneh ini apk saldo udh kepotong.. Tapi dlm proses sampe 5 jam.. Tolong jangan ada yg mau download ni apk sampah banget ini;Negative
Kok ini transper yang nya lama yaa, harus nungguin dalam proses ini knp ya benatang;Negative
Ga bisa buat trnsfr.sudah masukan pin tpi kembali lg k menu trnsfr.smntara kasih bintang satu dulu;Negative
Mudah dan cepat;Positive
Saya top up 50k saya sudah siapakan biaya admin nya pakai uang 5k tapi tidak diterima jadi biaya admin nya pakai 50k saya;Negative
Transaksi lebih mudah dan gampang;Positive
Ini aplikasi bodoh apa gimana sii,, sulit banget mau primer dasar ga usah bikin bisa ga sii taii;Negative
mau buka aplikasinya juga susah amat , lama lemot...;Negative
Buruk bgtt! Ini cuma berguna buat kebutuhan nge grab aja. Saya coba scan qr transaksinya malah gagal di proses terus. Benerin dong ini di update gt sekali kali apknya, lama lu kesaing terus sama gopay nih;Negative
Aplikasi kebanyakan update trs tolong dong jgn update trs apa si manfaatnya sama aja pdhl klw udah saya update juga ..;Negative
Kok saldo saya berkurang beberapa ribu, saya liat di History gk ad pemberitahuaan penggunaan saldo meski, saldo ny g seberapa tapi ilang.;Negative
Apa sih upgrade malah kekuar aplikasi terus mau masuk akun terblokir sementara ya apa;Negative
Aplikasi bagus mudah untuk transasi;Positive
Aplikasi yang sangat bagus bikin puas, tetapi sayang pajaknya terlalu besar untuk saya;Positive
Lama pending terus kalau transaksi, katanya 2 hari pling lama, lebih dari 2 hari uang ga ke transfer;Negative
Kenapa saldo saya jadi ilang dari 50 ribu sekarang jadi 18 ribu padahal baru top up kemaren tolong ya kalo bisa kembalikan atau di perbaiki takutnya nanti kalo saya top up lagi malah hilang lagi;Negative
Saya ngat lama tidak mendapatkan notifikasi kode regrestasi;Negative
Ko jdi makin lambat log in nya skrang mh makin parah;Negative
Ovo sedang gangguan bukan? Ko setelah di update malah tidak bisa login?;Negative
woii tolonggg dong aplikasinyaaa,, kenapa gak bisa dibuka?;Negative
Ribet mau upgrade premium malah prosesnya lama banget, padahal mau kepakenya untuk jam sekarang;Negative
Baru coba 2 invest di Ovo lama2 ternyata payah, Beli / jual aset lama prosesnya sampai berhari2 malah sampai sekian minggu. Awalnya prosesnya cepat. Gimana nih.?;Negative
Simple dan praktis;Positive
Transfer lambat, mau cepat jd lama. Gak rekomen lagi.;Negative
Gw ya Sama sekali tidak memakai duit yg 110k secara tibaÂ² ada yg memakai 39k ovo Aplikasi Gjls , dan ini banyak sekali eror saya slaah 1x pembayaran lgsung keluar perlu, login ulang ahhh gjls ni aplikasi tdk bisa membantu ovo ini sdh yg ke 2x nya ovo saya dipotong oleh goggle play sebesar 39k;Negative
"Kagak bisa di buka, loading mulu di update susah ngga di update juga sama aja. Pikir"" Dlu aja klo mau topup";Negative
kenapa akun saya di blokir, padahal masih ada saldonya, akun saya juga akun udh tahunan, masa di tuduh hal mencurigakan, emang saya korupsi.;Negative
Haduh nyesel bgt ni aplikasi eror mana saldo udah di isi buat grab skr pas masuk ke apk nya ga bisa giman nih min;Negative
kenapa tidak bisa lihat id ovo nya.. error mulu,, tolong diperbaiki dev;Negative
layanan cepat dan ramah;Positive
bukanya mempermudah malah mempersulit;Negative
Wajib hapus,jangan pakai ovo untuk transaksi sulit minta ampun, penyelesaian masalah tidak ada solusinya. Lebih baik dana.. real saya sarankan jangan pakai ovo kapok saya. Saya pernah transaksi dari ovo kebank tidak masuk juga.. aneh ovo ,,saya baru sadar ternyata ovo perampok juga..;Negative
terima kasih,jd lebih mudah dan simple;Positive
bagus banget apk nya;Positive
"Aplikasi aneh kenapa keluar "" sendiri";Negative
Mau di pake buat transfer malah suruh upgrade abis gitu lama lagi buru buru jadi terkendala gara2 lama proses upgrade nya;Negative
Sedikit reekendala untuk masuk terkadang problem padahal sinyal bagus;Negative
Praktis dan cepat;Positive
Pengajuan di tolak, menunggunya kelamaan 6 bln.. lama bangettt;Negative
Apk aneh udah di isi saldo malah gk bisa buat bayar gimna sih ini gk jelas bnget;Negative
Tiap orang transfer, masuk nya slalu kepotong 1.000 , gausah gitu bos, kalah sama apk sebelah;Negative
Kenapa hp saya ini tidak bisa login ovo ya? Perangkat anda sudah termodifikasi, silahkan mengunduh dari playstore. Padahal hp saya itulah yg ada tidak diapain. Aneh..bisa dibantukah;Negative
Kacau nih makin kedepan makin kacau apk nya parah padahal tadi pagi baru isi saldo ke ovo malah apk nya ga bisa kebuka kan taii, padahal semalam masih lancar dasar asuu;Negative
Saya kasih menggunakan aplikasi ovo mudah dan simpel terimakasih;Positive
Lebih mudah untuk melakukan pembayaran;Positive
Aplikasi yg selalu mempersulit...sudah saya ikt semua cara untuk upgrade ttp azaa tidak BS..smntra alasan ny selalu sama ducpail.bagaimana ATM saya masalah ducapil sementara KTP saya 2008 Bagaimana isi saldo saya jg di dalam OVO tidak bisa keluar kmana2,kalau memang OVO mau uang ny ambil saja..tp izin ya,terima kasih;Negative
Penggunaan mudah dan simple...kerenlah pokoknya...terima kasih ovo;Positive
OVO Benar-benar sangat memuaskan, bisa menjadi dompet digital yang aman, untuk transfer ke semua bank juga sangat mudah, Alhamdulillah sudah 2tahun lebih tidak ada kendala apapun saat menggunakan aplikasi OVO.;Positive
Biaya admin nya terlalu besar ...hadueh;Negative
OVO yg dulu sama sekarang beda jauh,, knp hrs melalui upgread versi terbaru.??? Klu jaringan ny lemot.. OVO yg dulu mau transfer / byr listrik,, langsung berhasil... OVO yg sekarang ko susah banget;Negative
Kalao gak upgrade gak bisa transfer, kecewa banget. Sudah terlanjur Isi saldo mau aku coba buat isi e wallet lain juga gak bisa soalnya gak upgrade. Transfer sesama ovo juga gak bisa kalau gak upgrade. Mau coba aku tarik tunai juga gak bisa kalau gak upgrade. Akhirnya terpaksa transfer pake pihak ketiga. Yg bikin kepotong hampir 30rb lebih buat transfer uang 1 juta. Super kecewa. Niat hemat malah jadi bodong. Kapook deh gak lagi.;Negative
Semakin kesini setelah update malah g bisa login, bolak balik suruh update aplikasi, males lama2, unistall, bye bye ovo;Negative
Sampah bgt sih mau login aja susah, padahal sinyal bagus;Negative
Buruk padahal udh install ORI dari play store tapi ke deteksi dimodifikasi aplikasi taik sesad;Negative
Kurang Mantap... Aplikasi ini awalnya bagus dan banyak promonya, tapi sekarang kurang menarik, gak pernah kepake, sekarang yang juara ya Dompet Biru 10X gratis transfer, tarik tunai via ATM biaya lebih murah, top lebih murah atau gratis;Negative
Admin, mohon perbaiki saat akses aplikasi awal sering loading (jika sinyal hp 4G), dan kalau bisa bayar di Indomaret jangan pakai kode token, tapi gunakan qr code seperti qris.;Negative
Ga bisa dibuka, udah d update tetap ga bisa, aneh, padahal saldo saya masih ada di apk ini huhu, tolong diperbaiki;Negative
Lebih cepat Transaksi nya, dan lebih mudah...;Positive
Mudah Cepat dan Oke Banget;Positive
Ovo ini sangat bagus dan mudah untuk bertransaksi Tpi sayangnya minimal transfer harus 10k tidak bisa bebas seperti apk sebelah (dana) tolong jgn pke minimal karena itu sangat butuh saat anak gamer ingin ikut ft yg 3-5k;Positive
Sejauh ini gampang. Sngat membantu smoga fiturnya tambah lengkap transaksinya.;Positive
Kecewa banget upgrade ke premier aja susah udah gitu mau transfer juga ribet sering gagal Ya kalau gini trus mending pakek dana aja rekomended banget pakai dana;Negative
Keren bisa isi tambah saldo akun ojol Indrive tanpa harus isi full minimum saldo akun driver nya.auto debet nya cepat.;Positive
Lebih bagusnya kalau aplikasi OVO nya bisa ada mode gratisnya,,;Positive
Aneh...masa aplikasi grab bisa potong saldo sendiri tanpa pin...jadi merasa tidak aman pake ovo...harusnya transaksi apa pun ya pake pin...Bangke;Negative
Mau topup saldo kena biaya, mau narik saldo kena biaya, kebanyakan biaya nih, seperti DANA dong ga banyak biaya.;Negative
Aplikasi tidak ada gunanya,serba tidak bisa serba ribet,gangguan terus;Negative
parah masa top up GK masuk2 pedahal yg krm udh ada bukti transfer nya. udh sukses tpi GK ada masuk2 saldo nya capruk;Negative
saya ngak bisa daftar, kenomor saya, padahal udah saya dfr kan udah berhasil, tapi malah disuruh daftar lagi;Negative
Payah Setelah pembaruan...malah ga bisa login Keterangan HP/aplikasi sudah dimodifikasi Padahal HP/device ga pernah di modifikasi Berkali kali uninstall trus download lagi Masih ga bisa login juga;Negative
Apk nya kurang bagus masa mau masuk k ovo premium susah pedalah udah pakai ktp tatap aja tidak mau bilang nya suruh ulangin lagi;Negative
Sementara saya kasih bintang 3 dulu solanya proses transfernya susah Tolong diperbaiki lagi proses tranfernya biar lebih cepat nanti kalok sudah bagus saya kasih bintang 5;Negative
Sekarang lebih mudah dan banyak promonya;Positive
setelah update malah akun terblokir saldo nya masih lumayan banyak;Negative
Sumpah ovo ga beres bahkan saya di instagram akun ovo resmi pun mereka slow respon . Bahkan ga ngerespon dan udah ga bagus, saran saya kita beralih ke dana mungkin jauh lebih baik;Negative
Terlalu cepat update versi;Positive
Kenapa sekarang ovo lama banget buat login yang pas mau masuk atau Daftar dan yang pas memverifikasi dan yang mau masukin security kode dan ketika sudah login tiba-tiba keluar sendiri di suruh masuk kan nomor dan kode ulang padahal tinggal login lama benget nunggu nya nya tolong di perbaiki lagi;Negative
Kenapa token catcha gx dapet lg...padahal saya transaksi...apa ada batas transaksi?;Negative
Aplikasi sampah. Masak mau beli coin di game gak bisa terus padahal OVO nya sudah ditambahkan sebagai metode pembayaran. Tidak seperti aplikasi dompet digital yang lain yang serba mudah dan tidak ada batas minimal transfer antar sesama pemakai aplikasi yang sama;Negative
Payah gagal transaksi Mulu kesel gw padahal udah upgrade udh update apk juga kesel lama lama;Negative
Bagus banget, kurang nya 1 ,kalo log in harus ada internet.harus nya gratis.bagaimana kalo darurat.jafi gak bisa beli paket data sedang kan uang nya ada di ovo..;Negative
Sangat bagus dan membantu transaksi;Positive
Lumayan lah, cm potongan nya bisa dikurangi gitu 500 perak hehe;Positive
setelah update jadi lemot banget sampai ga bisa login gagal memproses terus. mohon di perbaiki nanti ku rubah bintangnya;Negative
tolong kembalikan uang saya ke rek bri yang trdaftar di grab merchat, soalnya saya tidak bisa masuk ke apk ovo .;Negative
Selama ini sy blm pernah ada mslh trnsaksi di apk ini bagus lh, cuma yg gk hbs pikir skrg knp ovo ini masa tiap minggu harus di update mulu, baru minggu kmaren di update skrg minta srh di update lg;Positive
Mulai ragu pakai ovo, kadang tidak bisa transaksi. Kalau gagal lagi transaksi saya uninstal aja.;Negative
Tiba tiba salah security code padahal gak pernah ubah, sepertinya akunnya ke hack. Kecewa padahal sering pake, keamanan nya rentan;Negative
Aneh tiba tiba ga bisa di buka, padahal urgent, malah ke blokir selama 30 menit;Negative
Duuuhh ovo lagi kenapa ya?????baru isi saldo niatnya mau trf ke ovo temen,tapi kok pas dibuka gagal terus,padahal sandi udah bener,udah update juga tetep aja lemot;Negative
Di update bukan'y makin bagus malah makin parah erorr terus;Negative
Servernya makin gajelas, login gagal terus kendala server ujung2nya akun keblokir sementara . Anjirrrr Jangan update mulu benerin lah koneksinya;Negative
Sdh berkali kali login, sdh masuk kode otp ke email. Tetap ga bisa dbuka. Lambat dan ga berkembang;Negative
Tolong ya,OVO saya ada isinya.kenapa tiba erorr gak bisa masuk.jika anda mencuri uang saya akan saya laporkan ke pihak berwajib atas kecurangan anda.!!!;Negative
Gak tau lagi lah sama OVO ini. Lama-lama makin lelet, makin gk bisa diandalkan. Udah di upgrade, tetep lelet juga. Situasi mau cepat, malah berantakan semua. Sudahlah gk usah di pake lagi. Uninstall aja.;Negative
Abis di update malah muter mulu ngga bisa dibuka, parahh;Negative
Makin parah, server lamban buka akun malah dibilang kata sandi salah. Makin rusak ni aplikasi. Tolong segera perbaiki. Tolong segera perbaiki. Tolong segera perbaiki. Tolong segera perbaiki. Tolong segera perbaiki. Tolong segera perbaiki.;Negative
Apk sampah! Mau login disuruh coba lagi haduh tololnyaa...;Negative
Koq trjadi kesalahan terus,,aku gak bisa buka akun ovoku,,;Negative
Makin lama makin lemot, padahal dulu jadi andalan;Negative
Kenapa rating 1? 1. Pelayanan CS nya sangat lama, CS Live maupun email sangat lama sekali respon tiketnya 2. Aplikasi tujuan nya memudahkan user, top up OVO di merchant sudah kenda admin 1500 sampe 2500, di apps OVO nya kena potong lagi 1000 (SANGAT TIDAK EFISIEN) Penyebab utama orang2 berkurang pakai OVO karna sistem baru ini. 3. REWARD CASHBACK SELALU LEWAT DARI BATAS WAKTU S&K (misal 19 maret harusnya dpt cashback, kalo user gk komplain, gk bakal di urusin cashbacknya ) fakta yg saya alamiðŸ‘;Negative
Aplikasi payah buat transfer eror, terus aplikasinya dibuka ga bisa Mana ada duitnya lagi, tolong segera peebaiki sebelum saya lapor kepada pihak yg berwajib.;Negative
Akun saya ga bisa login tolong di buka dong DRI pihak ovo bacaan nya ops kamu ngga bisa login gmn si aplikasi ini;Negative
Aplikasi yang sangat mempermudah pembayaran Online, dimana pun kapanpun sekali klik langsung beres mantap Ovo;Positive
harusnya tiap transaksi pake pin dulu. ga asal berhasil.;Negative
tiap mau buka aplikasi harus update , brpaa kali update gak jelas ttep sering gt update2;Negative
Kenapa kalau ada yang kirim uang ke akun saya, malah saldo saya yang kepotong 1.000 untuk biaya admin nya. Ada kiriman saldo 20k ke akun saya, tetapi yang masuk cuma 19k, yang 1k lagi untuk biaya admin. Baru kali ini saya alami, orang lain yang kirim saldo, penerima yang nanggung biaya admin nya.;Negative
Woy' ini gw mau daftar akun baru tapi s babi ovo minta layanan google service terbaru' padahal udah terbaru. Udah beberapa kali reinstall tapi tetep gabisa. Kalo bukan karena grabb malles instal aplikasi sampah kek gini.;Negative
Mataplah alodokter... Semua solusi bisa teratasi dgn baik...;Positive
Gj aplikasi ini Baru di update mapah gbsa login lagi. Disruh msukkan email giliran di msukkan, alasannya emaim sdh terdaftar Bikin emosi;Negative
Sangat mudah dan cepat;Positive
Bisa lebih ditingkatkan Kalau bisa transfer sesama ovo ada ccssh back ny dan ada kartu ada ada play laternya bagi yg sering transaksi;Positive
Saya isi saldo 50rb utuk top up tp pas saya isi saldo ke potong 1rb jd cuman 49rb jdi gak bisa pake top up karna saldo kurang, jd saya harus isi saldo ovo lagi. Kalo bisa pas isi saldo 50rb yg masuk juga 50rb biaya mning d tambah jd kaya sistem beli pulsa, Masih.;Negative
Sebelumnya saya suka sama OVO karena proses transfer sangat cepat, tapi sekarang mengalami kendala transfer sudah 2 hari kerja tapi status transaksi masih diproses, sudah menghubungi customer servis tapi nihil tidak ada tindakan.;Negative
Sering banget di upgrade, tapi Masih biasa2 saja malah nambah ke penyimpanan RAM;Negative
Mudah, praktis, modern;Positive
Aplikasi yang sangat bagus, membuat semua pembayaran menjadi lebih mudah. Terima kasih banyak.;Positive
beli pulsa gak ada history transaksi nya aplikasi aneh, padahal perusahaan besar;Negative
Buat kecewa Mulu Asal melakukan transaksi atau transfer selalu eror udah nunggu Berjam jam masuk eror Sumpah kecewa banget bukan sekali tapi tiap tiap transaksi selalu eror beda sama dana;Negative
Aku kasih bintang 5;Positive
Makin gk jelas nih aplikasi udah top up pas mau transfer gk bisa ,gimana ya;Negative
Saya kasih bintang 1 dulu kenapa setiap saya Inggin melakukan penarikan atau mentransfer uang selalu terjadi gangguan padahal jaringan sudah setabil dan tetap saja eror;Negative
update terus malah makin lemot ini aplikasi mending pake yang sebelah;Negative
Transaksi nya mudah banget dan simpel recomend sih ini;Positive
